nev_name,avg_sed_export_diff_1992_2020_ha,stdev_sed_export_diff_1992_2020_ha,valid_count_sed_export_diff_1992_2020_ha,count_sed_export_diff_1992_2020_ha,p5_sed_export_diff_1992_2020_ha,p95_sed_export_diff_1992_2020_ha
Montenegro,-0.9602922559306569,92.38179987756739,164400,190694,-6.739083123207092,4.400203299522348
Montserrat,,,0,1178,,
Morocco,0.00285927197020871,20.639631765293153,3535916,5130148,-1.5891425609588623,0.6252197474241257
Moroco,0.002655745521530941,0.27507882556878144,14764,3092070,0.0,0.0
Mozambique,0.4870444838369399,23.88704285941041,8381179,8708257,-0.01707838084548712,0.3671015948057154
Myanmar,-0.6562410470296542,38.547190032418605,7106580,7576665,-3.9215362071990967,1.0551292300224302
NOR,,,0,1388,,
Namibia,-0.3410251331457201,14.003994004998415,8014715,9369571,-0.24126182645559308,0.001567464438267052
Nauru,,,0,319,,
Nepal,4.596213109870702,143.3474611725126,1691916,1760034,-1.7225891947746277,7.990594506263733
Netherlands,-0.0027702561873180448,0.06507204160182987,509741,646830,-0.01098628155887127,0.00042499866685830057
New Caledonia,0.3490686930791009,88.7336682688893,146585,219433,-12.410296440124506,12.627841377258273
New Zealand,-0.4385508441505317,48.57882327811142,2762422,3878377,-0.24661740735173185,0.5098531097173616
